customer_ID,shopping_pt,record_type,day,time,state,location,group_size,homeowner,car_age,car_value,risk_factor,age_oldest,age_youngest,married_couple,C_previous,duration_previous,A,B,C,D,E,F,G,cost
10000000,1,0,0,08:35,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,2,633
10000000,2,0,0,08:38,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,1,630
10000000,3,0,0,08:38,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,1,630
10000000,4,0,0,08:39,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,1,630
10000000,5,0,0,11:55,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,1,630
10000000,6,0,0,11:57,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,1,638
10000000,7,0,0,11:58,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,1,638
10000000,8,0,0,12:03,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,1,638
10000000,9,1,0,12:07,IN,10001,2,0,2,g,3,46,42,1,1,2,1,0,2,2,1,2,1,634
10000005,1,0,3,08:56,NY,10006,1,0,10,e,4,28,28,0,3,13,1,1,3,3,1,0,2,755
10000005,2,0,3,08:56,NY,10006,1,0,10,e,4,28,28,0,3,13,1,1,3,3,1,0,2,755
10000005,3,0,3,08:57,NY,10006,1,0,10,e,4,28,28,0,3,13,1,1,3,3,1,0,2,755
10000005,4,0,3,08:58,NY,10006,1,0,10,e,4,28,28,0,3,13,0,0,3,2,0,0,2,730
10000005,5,0,3,08:58,NY,10006,1,0,10,e,4,28,28,0,3,13,0,0,3,2,0,0,2,731
10000005,6,1,3,09:09,NY,10006,1,0,10,e,4,28,28,0,3,13,0,0,3,2,0,0,2,731
10000007,1,0,4,08:35,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,2,3,0,0,3,618
10000007,2,0,4,08:36,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,2,3,0,0,1,616
10000007,3,0,4,08:36,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,1,1,0,0,1,607
10000007,4,0,4,08:38,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,1,1,0,0,1,607
10000007,5,0,4,08:39,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,1,1,0,0,1,607
10000007,6,0,4,08:41,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,2,2,0,0,1,605
10000007,7,0,4,08:43,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,2,2,0,0,1,605
10000007,8,1,4,14:26,PA,10008,1,0,11,c,NA,43,43,0,2,4,0,0,1,2,0,0,1,602
10000013,1,0,2,16:31,WV,10014,2,1,3,d,3,62,60,1,3,3,1,1,3,2,1,2,3,629
10000013,2,0,2,16:32,WV,10014,2,1,3,d,3,62,60,1,3,3,1,1,3,2,1,2,3,620
10000013,3,0,2,16:36,WV,10014,2,1,3,d,3,62,60,1,3,3,1,1,3,2,1,1,3,627
10000013,4,1,4,09:31,WV,10014,2,1,3,d,3,62,60,1,3,3,1,1,3,2,1,1,3,626
